時間,設備,值
2024-10-26 09:47:29,SA-35/LED_LEVEL,5
2024-10-26 09:47:29,SA-35/TEMPERATURE,32.19
2024-10-26 09:47:30,SA-35/LIGHT_LEVEL,1
2024-10-26 09:47:31,SA-35/TEMPERATURE,31.73
2024-10-26 09:47:35,SA-35/TEMPERATURE,32.19
2024-10-26 09:47:38,SA-35/LED_LEVEL,4
2024-10-26 09:47:39,SA-35/TEMPERATURE,31.73
2024-10-26 09:47:42,SA-35/LED_LEVEL,3
2024-10-26 09:47:43,SA-35/TEMPERATURE,32.19
2024-10-26 15:24:22,SA-35/LED_LEVEL,5
2024-10-26 15:24:22,SA-35/TEMPERATURE,32.66
2024-10-26 15:24:22,SA-35/LIGHT_LEVEL,1
2024-10-26 15:24:34,SA-35/TEMPERATURE,32.19
2024-10-26 15:24:36,SA-35/TEMPERATURE,32.66
2024-10-26 15:24:49,SA-35/LED_LEVEL,4
2024-10-26 15:25:10,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:13,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:14,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:16,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:22,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:24,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:30,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:34,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:40,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:42,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:48,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:50,SA-35/TEMPERATURE,32.66
2024-10-26 15:25:56,SA-35/TEMPERATURE,33.13
2024-10-26 15:25:58,SA-35/TEMPERATURE,32.66
2024-10-26 15:26:32,SA-35/TEMPERATURE,32.19
2024-10-26 15:26:36,SA-35/TEMPERATURE,32.66
2024-10-26 15:26:52,SA-35/TEMPERATURE,32.19
2024-10-26 15:26:54,SA-35/TEMPERATURE,32.66
2024-10-26 15:26:58,SA-35/TEMPERATURE,32.19
2024-10-26 15:27:00,SA-35/TEMPERATURE,32.66
2024-10-26 15:27:18,SA-35/LED_LEVEL,4
2024-10-26 15:27:20,SA-35/TEMPERATURE,32.66
2024-10-26 15:27:20,SA-35/LIGHT_LEVEL,1
2024-10-26 15:27:26,SA-35/TEMPERATURE,32.19
2024-10-26 15:27:34,SA-35/TEMPERATURE,32.66
2024-10-26 15:27:36,SA-35/TEMPERATURE,32.19
2024-10-26 15:27:38,SA-35/TEMPERATURE,32.66
2024-10-26 15:27:40,SA-35/TEMPERATURE,32.19
2024-10-26 15:27:46,SA-35/LED_LEVEL,3
2024-10-26 15:27:46,SA-35/LED_LEVEL,2
