時間,設備,值
2024-10-19 11:54:54,SA-35/LED_LEVEL,3
2024-10-19 11:54:56,SA-35/LED_LEVEL,2
2024-10-19 11:54:57,SA-35/LED_LEVEL,1
2024-10-19 13:25:47,SA-35/LED_LEVEL,0
2024-10-19 13:25:53,SA-35/LED_LEVEL,1
2024-10-19 13:25:54,SA-35/LED_LEVEL,2
2024-10-19 13:47:46,SA-35/LED_LEVEL,2
2024-10-19 13:47:50,SA-35/LED_LEVEL,1
2024-10-19 13:55:31,SA-35/LED_LEVEL,1
2024-10-19 13:55:52,SA-35/LED_LEVEL,2
2024-10-19 13:55:52,SA-35/LED_LEVEL,1
2024-10-19 14:02:44,SA-35/LED_LEVEL,2
2024-10-19 14:02:44,SA-35/LED_LEVEL,1
2024-10-19 14:03:29,SA-35/LED_LEVEL,2
2024-10-19 14:03:31,SA-35/LED_LEVEL,1
2024-10-19 14:03:47,SA-35/LED_LEVEL,2
2024-10-19 14:03:47,SA-35/LED_LEVEL,1
2024-10-19 14:03:49,SA-35/LED_LEVEL,2
2024-10-19 14:03:50,SA-35/LED_LEVEL,1
2024-10-19 14:03:52,SA-35/LED_LEVEL,2
2024-10-19 14:03:52,SA-35/LED_LEVEL,1
2024-10-19 14:03:58,SA-35/LED_LEVEL,2
2024-10-19 14:03:59,SA-35/LED_LEVEL,1
2024-10-19 14:04:00,SA-35/LED_LEVEL,2
2024-10-19 14:04:02,SA-35/LED_LEVEL,1
2024-10-19 14:04:02,SA-35/LED_LEVEL,2
2024-10-19 14:04:04,SA-35/LED_LEVEL,1
2024-10-19 14:04:07,SA-35/LED_LEVEL,2
2024-10-19 14:04:07,SA-35/LED_LEVEL,1
2024-10-19 14:04:11,SA-35/LED_LEVEL,2
2024-10-19 14:04:12,SA-35/LED_LEVEL,1
2024-10-19 14:09:28,SA-35/LED_LEVEL,1
2024-10-19 14:09:29,SA-35/TEMPERATURE,32.66
2024-10-19 14:09:33,SA-35/TEMPERATURE,33.13
2024-10-19 14:09:35,SA-35/TEMPERATURE,32.66
2024-10-19 14:09:37,SA-35/TEMPERATURE,33.13
2024-10-19 14:09:41,SA-35/TEMPERATURE,33.6
2024-10-19 14:09:43,SA-35/TEMPERATURE,32.66
2024-10-19 14:09:45,SA-35/TEMPERATURE,33.13
2024-10-19 14:09:45,SA-35/LED_LEVEL,0
